repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
liam-hq/liam,3851,1,1,1,0.0,15,14,217,0,7,0.06,21,11,2,0
liam-hq/liam,3833,2,2,2,0.2668,95,15,64,1,7,11.28,17,718,201,0
liam-hq/liam,3847,1,2,2,0.4225,525,34,3386,1,1,2.38,3,90,24,0
liam-hq/liam,3850,1,8,18,3.5785,639,350,1400,0,14,20.78,58,90,24,0
liam-hq/liam,3832,2,3,5,2.0454,22,11,1509,0,22,3.5,608,90,24,0
liam-hq/liam,3821,1,1,1,0.0,91,91,18742,0,9,16.36,164,90,24,0
liam-hq/liam,3837,1,6,11,2.8519,1381,84,581,0,10,25.1,73,11,2,0
liam-hq/liam,3840,1,1,1,0.0,9,3,157,1,3,5.81,8,90,24,0
liam-hq/liam,3831,1,8,20,3.3006,360,536,1641,0,11,38.44,77,90,24,0
liam-hq/liam,3835,1,1,1,0.0,7,3,83,0,5,0.88,8,90,24,0
liam-hq/liam,3834,1,2,2,0.679,13,26,669,1,8,4.09,41,499,133,0
liam-hq/liam,3826,1,1,1,0.0,551,782,23301,0,22,0.12,1292,713,197,0
liam-hq/liam,3773,2,18,31,3.9302,844,64,24080,0,23,46.25,1764,499,133,0
liam-hq/liam,3805,2,7,13,2.7461,302,107,257,0,7,46.52,36,90,24,0
liam-hq/liam,3828,1,1,2,0.684,19,3,108,1,9,64.35,34,90,24,0
liam-hq/liam,3822,1,11,35,4.0505,9,1767,2619,0,14,63.44,352,90,25,0
liam-hq/liam,3809,2,19,20,0.6362,1115,1111,24162,0,25,6.58,2995,536,184,0
liam-hq/liam,3823,2,6,8,1.9849,93,57,23615,1,23,51.63,1562,709,193,0
liam-hq/liam,3796,1,3,3,1.2632,27,13,351,0,11,2.35,101,90,24,0
liam-hq/liam,3803,2,9,17,3.5792,11,414,25450,0,23,56.53,1639,709,193,0
liam-hq/liam,3820,1,1,1,0.0,1,1,1,0,2,37.07,7,709,193,0
liam-hq/liam,3812,2,2,2,0.65,6,6,23330,1,22,0.03,1403,704,188,0
liam-hq/liam,3813,2,3,3,0.2492,43,74,23442,1,22,1.04,1728,704,188,0
liam-hq/liam,3819,1,1,2,0.5917,7,7,23360,0,22,4.36,1433,468,110,0
liam-hq/liam,3807,1,1,2,1.0,2,2,275,0,8,9.03,83,704,188,0
liam-hq/liam,3816,2,3,3,0.8167,12,12,23405,1,22,2.92,1447,704,188,0
liam-hq/liam,3817,2,3,3,0.7167,21,8,23433,0,25,1.59,1617,704,188,0
liam-hq/liam,3800,1,4,6,1.9385,47,311,5151,0,10,30.93,71,90,25,0
liam-hq/liam,3815,2,2,2,0.65,6,6,23373,0,25,0.41,1540,531,186,0
liam-hq/liam,3811,2,2,2,0.1738,79,79,23334,0,23,3.46,1421,528,183,0
liam-hq/liam,3810,2,5,5,0.5238,90,90,23543,0,25,2.03,1966,528,183,0
liam-hq/liam,3808,2,2,2,0.0666,122,131,23382,0,25,1.03,1535,526,182,0
liam-hq/liam,3804,1,13,21,3.3707,13,471,2725,0,14,20.91,396,90,25,0
liam-hq/liam,3802,1,1,1,0.0,1,1,171,0,1,72.33,7,90,25,0
liam-hq/liam,3801,1,1,1,0.0,4,0,210,1,5,0.13,17,90,25,0
liam-hq/liam,3559,2,3,3,0.3731,35,35,23374,1,22,7.35,1319,90,25,0
liam-hq/liam,3787,1,1,3,1.1343,261,51,313,0,2,31.23,28,700,184,0
liam-hq/liam,3794,1,1,1,0.0,1,1,161,1,6,21.85,12,11,2,0
liam-hq/liam,3795,3,30,48,2.9644,381,733,29266,0,25,15.85,2442,11,2,0
liam-hq/liam,3791,1,1,1,0.0,65,23,177,0,4,28.7,11,700,184,0
liam-hq/liam,3792,1,6,11,2.581,487,15,431,0,7,16.28,51,90,25,0
liam-hq/liam,3748,2,3,6,2.402,18,13,1495,0,22,5.99,599,90,25,0
liam-hq/liam,3793,1,3,4,1.7213,147,50,726,1,10,6.84,97,90,25,0
liam-hq/liam,3783,1,19,19,4.1097,1256,5,86,0,10,1.51,34,700,184,0
liam-hq/liam,3799,1,1,1,0.0,1,0,172,0,3,21.63,4,700,184,0
liam-hq/liam,3780,1,2,7,2.2788,185,13,186,0,10,17.31,43,697,184,0
liam-hq/liam,3781,1,8,8,2.7613,328,0,0,0,0,0.0,0,90,25,0
liam-hq/liam,3777,1,4,7,2.4846,63,9,1145,0,13,24.42,214,696,189,0
liam-hq/liam,3775,2,3,3,0.3332,44,37,23460,0,25,2.57,1603,696,194,0
liam-hq/liam,3769,2,2,2,0.65,6,6,23396,1,22,0.65,1580,695,193,0
liam-hq/liam,3757,2,2,2,1.0,11,1,60,1,7,16.94,16,695,194,0
liam-hq/liam,3751,2,10,14,1.7793,580,71,24660,0,23,28.7,1343,11,2,0
liam-hq/liam,3776,1,1,1,0.0,78,0,0,0,0,0.0,0,90,30,0
liam-hq/liam,3756,1,1,1,0.0,2,2,64,1,1,4.87,3,90,30,0
liam-hq/liam,3744,1,12,18,3.5562,321,271,2397,0,16,14.66,447,90,30,0
liam-hq/liam,3774,1,1,1,0.0,1,1,29,0,6,2.95,27,463,113,0
liam-hq/liam,3752,1,3,6,1.8728,115,60,331,1,8,67.36,33,463,120,0
liam-hq/liam,3771,1,1,2,1.0,2,2,197,0,10,37.89,59,463,120,0
liam-hq/liam,3770,2,3,3,0.1698,94,94,23383,1,22,3.35,1348,463,120,0
liam-hq/liam,3767,2,2,2,0.469,10,10,23381,1,25,1.42,1437,463,120,0
liam-hq/liam,3766,2,2,2,0.469,10,10,23358,1,23,5.0,1404,463,120,0
liam-hq/liam,3754,1,1,2,1.0,2,2,275,0,8,10.21,81,463,120,0
liam-hq/liam,3765,2,3,3,0.8659,11,11,23424,1,22,4.27,1575,463,120,0
liam-hq/liam,3768,2,3,3,0.4895,42,11,23386,1,22,4.03,1416,463,120,0
liam-hq/liam,3735,1,7,9,3.0053,56,58,1142,0,11,37.17,80,463,120,0
liam-hq/liam,3737,2,3,5,1.0251,256,20,23625,0,22,4.3,1316,463,120,0
liam-hq/liam,3755,1,2,5,2.0263,659,131,260,0,3,5.86,13,90,30,0
liam-hq/liam,3747,1,2,2,0.9782,35,40,566,1,11,4.4,108,11,2,0
liam-hq/liam,3734,1,1,2,0.915,68,35,147,0,4,7.08,16,90,30,0
liam-hq/liam,3738,1,1,1,0.0,1,0,57,1,3,10.79,9,11,2,0
liam-hq/liam,3749,1,1,1,0.0,4,0,116,0,8,6.17,26,11,2,0
liam-hq/liam,3731,1,1,1,0.0,58,55,137,0,4,4.61,27,90,30,0
liam-hq/liam,3724,1,1,1,0.0,1,4,52,0,2,95.79,3,90,30,0
liam-hq/liam,3764,2,5,5,0.5193,91,91,23534,0,25,3.65,1930,518,188,0
liam-hq/liam,3762,1,1,2,0.1461,48,48,23337,0,22,0.08,1400,516,186,0
liam-hq/liam,3763,2,2,2,0.0672,125,125,23363,0,25,0.16,1509,516,186,0
liam-hq/liam,3760,1,1,2,0.1511,46,46,23337,0,22,0.01,1395,514,184,0
liam-hq/liam,3761,2,2,2,0.0591,262,34,23135,0,25,0.48,1504,514,184,0
liam-hq/liam,3759,1,1,2,0.3912,13,13,23109,0,22,3.34,1390,514,184,0
liam-hq/liam,3758,2,2,2,0.65,6,6,23075,0,22,3.99,1259,514,184,0
