repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,s_length,s_structure,s_specificity,s_error_awareness,s_scope,s_acceptance,s_questions,s_references,s_overall,ce_questions,ce_questions_rate,ce_error_thinking,ce_error_thinking_rate,ce_uncertainty,ce_uncertainty_rate,ce_scope_awareness,ce_scope_awareness_rate,ce_tradeoff_reasoning,ce_tradeoff_reasoning_rate,ce_composite,ce_body_words,szz_bug_introducing,szz_fix_count
zephyrproject-rtos/zephyr,?,105983,include: drivers: flash: mchp: fix doxygen for mchp_nvmctrl_g1 flash exops,kartben,2026-03-25T12:04:57+00:00,62,25,87,small,1,False,,pending,clean_pass,False,False,0,109.4,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,11,0,0,0,0,3,35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,21,False,0
zephyrproject-rtos/zephyr,?,104085,drivers: include: led_strip: use doxygen aliases to document driver ops,kartben,2026-03-25T11:59:03+00:00,25,13,38,small,1,False,,pending,clean_pass,False,False,1,950.4,no_review,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,5,0,0,0,0,2,47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,False,0
zephyrproject-rtos/zephyr,?,103524,tests: spi: Fixed an issue with a missing definition for a SPI test.,iduhetonas,2026-03-25T11:59:18+00:00,2,1,3,small,2,False,,pending,clean_pass,False,False,1,1166.9,cr_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,1,1,0,0,0,0,43,0,0.0,1,2.439,0,0.0,0,0.0,0,0.0,1,41,False,0
zephyrproject-rtos/zephyr,?,102899,boards: common: Fix MAX32660 remaining halted after flashing,shiftee,2026-03-25T11:59:27+00:00,4,1,5,small,1,False,,pending,clean_pass,False,False,0,1391.1,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0,3,0,0,0,0,1,50,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46,False,0
zephyrproject-rtos/zephyr,?,105496,LoRa: native: implement proper PM (+ a fix),carlocaione,2026-03-25T11:58:53+00:00,73,6,79,small,1,False,,pending,failed,False,False,0,265.6,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,5,9,0,0,0,0,0,120,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15,False,0
zephyrproject-rtos/zephyr,?,105520,samples: i2s: output: enable i2s on nucleo h723,mariopaja,2026-03-25T11:58:35+00:00,29,0,29,small,2,False,,pending,clean_pass,False,False,0,239.4,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,1,0,0,0,0,0,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,12,False,0
zephyrproject-rtos/zephyr,?,105670,drivers: spi: microchip: sercom g1: Refactor for macro mapping and multi-SoC support,AzharMCHP,2026-03-25T11:58:21+00:00,521,1192,1713,large,3,False,,pending,clean_pass,False,False,1,187.6,cr_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,2,0,0,0,0,0,56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,54,False,0
zephyrproject-rtos/zephyr,?,105810,tests: pm: enable power harness for power_mgmt_soc on mimxrt1060_evk,hakehuang,2026-03-25T11:58:06+00:00,23,0,23,small,1,False,,pending,clean_pass,False,False,0,148.6,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,10,5,0,1,0,0,1,89,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,66,False,0
zephyrproject-rtos/zephyr,?,105903,doc: security: standards: update the Openssf CRA link,str4t0m,2026-03-25T11:57:32+00:00,1,1,2,small,1,False,,pending,failed,False,False,0,125.2,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,0,0,0,0,0,1,31,0,0.0,0,0.0,0,0.0,0,0.0,1,3.3333,1,30,False,0
zephyrproject-rtos/zephyr,?,105985,doc: doxygen: update doxygen awesome to v2.4.2,kartben,2026-03-25T11:56:34+00:00,468,161,629,large,4,False,,pending,clean_pass,False,False,0,109.1,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0,4,0,0,0,0,2,35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,29,False,0
